MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
795_20140607,1394583.6085598469,617941.4604260708,485329.6120823918,3922.750341176815,3596.674795250888
796_20080214,1253054.4497919085,669594.3927095263,491027.2147801404,4035.780090632936,3863.2289228624063
796_20090828,1248021.6495919228,666496.3394864319,489745.8986286776,3984.681034366713,3778.434604016469
796_20110219,1231706.448943615,658832.185981984,468702.2686575307,3970.589094933663,3657.121534807321
796_20120811,1237240.8491635325,654874.0196734539,445948.3392400251,3958.375766463569,3576.962544397177
796_20140202,1239247.157215476,648607.8599406413,440453.6532698108,3900.736415530088,3519.940350826228
797_20120202,1541400.0,602399.7923965226,532886.9858570131,3374.146879460231,3117.16621253406
797_20170717,1539827.0630073547,592840.3719891157,493272.5950267237,3067.410038770514,3075.76810427125
798_20080130,1212873.6481952667,670689.1963020713,532802.079293341,3587.988064048884,3463.483746368954
798_20090904,1209333.6480545998,663598.0543333949,533267.6938770245,3646.735689804699,3382.8085153674715
798_20110219,1187337.6471805573,656094.4890484391,510476.85173955583,3519.184434149142,3378.995156895562
798_20140330,1190810.3460570574,652566.4815492224,485601.07745003497,3539.179497411681,3259.618901932094
80_20080218,1356157.2538888454,626291.438780106,503712.8881519045,4738.6984340753415,4417.302064981847
80_20090320,1349912.4536406994,628162.8585677114,503765.1243147333,4712.3146657516445,4393.24507279139
80_20100924,1347642.0535504818,625753.8456058805,502045.5106029644,4744.446967369672,4451.57987061846
80_20120213,1350910.8536803722,610791.5282045269,500689.712451777,4669.454119398557,4423.024821476
80_20130807,1341906.987657547,602404.0920716112,497000.00000000006,4512.787723785166,4227.62148337596
80_20150511,1341353.5180778503,591194.9897655378,488006.0243766283,4379.07052474879,4229.39151470041
804_20120426,1459520.0,630129.0218702039,532618.9569173427,4089.577395308047,3903.420302565227
805_20111103,1510338.0,631356.1467697959,530632.8252351461,4157.43363406072,3754.093454577717
806_20130822,1373166.0842895508,629652.5169998104,509181.9325230282,3877.2416101742583,3559.4349208157128
806_20180921,1347858.0,630639.147447283,502431.65823106,4039.008560248929,3716.482003297083
808_20080206,1507656.0599088669,647623.6648147854,516139.87806236965,3435.059456533851,3284.8182874608
808_20090910,1499214.059573412,648254.3812957989,499093.5730322689,3551.6930871776813,3279.27834185113
808_20110219,1499887.2596001625,629077.9946651988,495452.1780037859,3363.612943693366,3101.6172416165696
808_20121013,1482571.2589120865,630832.6507354251,464910.0751451263,3377.435093842373,3067.238861782827
